-4.5C to -1.5C,-1.5C to 1.5C,1.5C to 4.5C,4.5C to 7.5C,7.5C to 10.5C,10.5C to 13.5C,13.5C to 16.5C,16.5
0.02104,0.02295,0.02171,0.02067,0.01937,0.01681,0.00922,0.00922
0.02169,0.02312,0.02173,0.0202,0.01867,0.01644,0.00829,0.00829
0.02163,0.02326,0.02216,0.02073,0.0193,0.01743,0.01041,0.01041
0.02434,0.02563,0.02488,0.02392,0.02332,0.02341,0.02261,0.02261
0.02893,0.03008,0.02973,0.02911,0.02936,0.03162,0.03729,0.03729
0.03544,0.03752,0.03863,0.03847,0.04028,0.04607,0.05431,0.05431
0.04566,0.04905,0.05316,0.05417,0.05975,0.06996,0.08073,0.08073
0.05393,0.05671,0.06194,0.06286,0.0695,0.07879,0.08609,0.08609
0.05572,0.05693,0.0603,0.05989,0.06343,0.06802,0.07114,0.07114
0.05351,0.0532,0.05379,0.05265,0.05294,0.05369,0.05551,0.05551
0.05076,0.04867,0.04738,0.04632,0.04486,0.04333,0.04442,0.04442
0.04762,0.04523,0.04327,0.04288,0.04024,0.03758,0.03651,0.03651
0.04471,0.04318,0.04132,0.04153,0.0383,0.03563,0.03567,0.03567
0.04295,0.04193,0.03971,0.04041,0.03696,0.03301,0.03163,0.03163
0.04365,0.04208,0.04002,0.04114,0.03772,0.03204,0.02882,0.02882
0.04622,0.04434,0.04305,0.0443,0.04112,0.03474,0.03147,0.03147
0.04922,0.04795,0.0478,0.0492,0.0476,0.04322,0.04742,0.04742
0.05238,0.05152,0.05191,0.05305,0.0532,0.05124,0.05727,0.05727
0.05375,0.0525,0.05301,0.0537,0.05504,0.05521,0.05608,0.05608
0.0541,0.05174,0.05224,0.05278,0.05478,0.05578,0.05464,0.05464
0.05232,0.05013,0.05071,0.0512,0.05316,0.05482,0.05272,0.05272
0.04524,0.04445,0.04479,0.04501,0.04639,0.04864,0.04563,0.04563
0.03259,0.03326,0.03306,0.03279,0.03284,0.03327,0.03011,0.03011
0.02262,0.02456,0.02368,0.02303,0.02188,0.01926,0.01202,0.01202
