-4.5C to -1.5C,-1.5C to 1.5C,1.5C to 4.5C,4.5C to 7.5C,7.5C to 10.5C,10.5C to 13.5C,13.5C to 16.5C,16.5
0.010347,0.011411,0.010824,0.010364,0.0097208,0.0082876,0.004349,0.004349
0.010691,0.01154,0.010889,0.010302,0.0096539,0.008521,0.0048696,0.0048696
0.010862,0.011543,0.010828,0.010093,0.0093485,0.0082243,0.0041187,0.0041187
0.010826,0.011576,0.010904,0.010104,0.0093192,0.008218,0.0041755,0.0041755
0.010617,0.011459,0.010861,0.010094,0.009298,0.0081482,0.0041156,0.0041156
0.011016,0.011799,0.011295,0.010639,0.0099986,0.009284,0.0062933,0.0062933
0.011626,0.012305,0.011864,0.011326,0.010885,0.010617,0.0090252,0.0090252
0.012714,0.013323,0.013018,0.012594,0.012437,0.012795,0.013585,0.013585
0.013773,0.014369,0.014128,0.013793,0.013849,0.014716,0.017145,0.017145
0.015155,0.015709,0.015606,0.015317,0.015508,0.016907,0.020141,0.020141
0.016657,0.017491,0.017698,0.01751,0.018061,0.020375,0.023984,0.023984
0.018779,0.020031,0.020934,0.02096,0.022223,0.025692,0.030328,0.030328
0.021442,0.023104,0.024815,0.025208,0.027585,0.032443,0.037882,0.037882
0.024213,0.025948,0.028341,0.02896,0.032162,0.037515,0.042845,0.042845
0.026342,0.027912,0.030596,0.031211,0.034748,0.039917,0.044194,0.044194
0.027588,0.028799,0.031344,0.031647,0.03475,0.038869,0.041895,0.041895
0.027985,0.02876,0.030799,0.030746,0.033014,0.035953,0.037872,0.037872
0.027736,0.028172,0.029505,0.029142,0.030412,0.032069,0.033265,0.033265
0.027118,0.02717,0.027776,0.027244,0.027681,0.028413,0.029276,0.029276
0.026392,0.026025,0.026016,0.025406,0.025254,0.025275,0.02623,0.02623
0.025742,0.024853,0.024373,0.023788,0.023235,0.022751,0.023626,0.023626
0.025015,0.023816,0.02301,0.022529,0.021629,0.020579,0.02079,0.02079
0.024213,0.022956,0.021981,0.021696,0.0205,0.019201,0.018738,0.018738
0.023408,0.022277,0.021293,0.021188,0.019743,0.018383,0.017767,0.017767
0.022646,0.021778,0.02086,0.020916,0.019349,0.018108,0.018132,0.018132
0.02206,0.0214,0.02046,0.020615,0.018953,0.017518,0.017538,0.017538
0.02155,0.021064,0.01999,0.020277,0.018563,0.016802,0.016404,0.016404
0.021398,0.020869,0.019723,0.020134,0.018402,0.016205,0.015229,0.015229
0.021537,0.020861,0.019753,0.020292,0.018587,0.015985,0.01466,0.01466
0.022111,0.021224,0.020267,0.020846,0.019129,0.016053,0.014163,0.014163
0.022727,0.021766,0.020982,0.021596,0.019915,0.016634,0.014462,0.014462
0.023488,0.022573,0.022072,0.022701,0.02121,0.018102,0.01701,0.01701
0.024158,0.023457,0.023253,0.023953,0.022905,0.020424,0.021536,0.021536
0.025063,0.024496,0.024547,0.025251,0.024698,0.022798,0.025879,0.025879
0.025837,0.025428,0.02559,0.026231,0.02614,0.024882,0.02838,0.02838
0.026547,0.026094,0.026315,0.026816,0.027055,0.02636,0.028893,0.028893
0.026802,0.026309,0.026557,0.026938,0.027487,0.027393,0.028386,0.028386
0.026952,0.026195,0.026453,0.026761,0.027552,0.02782,0.027692,0.027692
0.027017,0.025965,0.026212,0.026486,0.027451,0.027872,0.027279,0.027279
0.027081,0.025773,0.026027,0.026296,0.027326,0.027904,0.027361,0.027361
0.026643,0.025401,0.025685,0.025941,0.026949,0.027644,0.026824,0.026824
0.025682,0.024728,0.025022,0.025262,0.026206,0.027179,0.025892,0.025892
0.023882,0.023312,0.023532,0.023693,0.024489,0.025581,0.023895,0.023895
0.021362,0.021138,0.02126,0.021319,0.021903,0.023056,0.021739,0.021739
0.017968,0.018122,0.018099,0.018019,0.018247,0.018889,0.017655,0.017655
0.014617,0.01514,0.014961,0.01477,0.01459,0.014379,0.012458,0.012458
0.011971,0.012835,0.012456,0.012167,0.01166,0.010542,0.007248,0.007248
0.010644,0.011724,0.011223,0.01086,0.01022,0.0087161,0.0047752,0.0047752
