Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/01/2020 00:00:00,01/01/2020,"Demand Actual, NTS, D+1 (Energy)",634095264,03/01/2020 17:02:13,A
31/12/2019 00:00:00,31/12/2019,"Demand Actual, NTS, D+1 (Energy)",2849571253,03/01/2020 17:02:13,A
30/12/2019 00:00:00,30/12/2019,"Demand Actual, NTS, D+1 (Energy)",2682173529,03/01/2020 14:02:14,A
29/12/2019 00:00:00,29/12/2019,"Demand Actual, NTS, D+1 (Energy)",2403999068,31/12/2019 14:02:13,A
28/12/2019 00:00:00,28/12/2019,"Demand Actual, NTS, D+1 (Energy)",2416225303,31/12/2019 14:02:13,A
27/12/2019 00:00:00,27/12/2019,"Demand Actual, NTS, D+1 (Energy)",2739283374,31/12/2019 14:02:13,A
26/12/2019 00:00:00,26/12/2019,"Demand Actual, NTS, D+1 (Energy)",2672282775,31/12/2019 14:02:13,A
25/12/2019 00:00:00,25/12/2019,"Demand Actual, NTS, D+1 (Energy)",2691046099,30/12/2019 14:02:15,A
24/12/2019 00:00:00,24/12/2019,"Demand Actual, NTS, D+1 (Energy)",2849678599,27/12/2019 17:02:12,A
23/12/2019 00:00:00,23/12/2019,"Demand Actual, NTS, D+1 (Energy)",3101820453,27/12/2019 12:02:14,A
22/12/2019 00:00:00,22/12/2019,"Demand Actual, NTS, D+1 (Energy)",3132971675,27/12/2019 17:02:12,A
21/12/2019 00:00:00,21/12/2019,"Demand Actual, NTS, D+1 (Energy)",3039959760,23/12/2019 17:02:12,A
20/12/2019 00:00:00,20/12/2019,"Demand Actual, NTS, D+1 (Energy)",2971353432,23/12/2019 17:02:12,A
19/12/2019 00:00:00,19/12/2019,"Demand Actual, NTS, D+1 (Energy)",2948022359,23/12/2019 14:02:14,A
18/12/2019 00:00:00,18/12/2019,"Demand Actual, NTS, D+1 (Energy)",3207498485,20/12/2019 14:02:15,A
17/12/2019 00:00:00,17/12/2019,"Demand Actual, NTS, D+1 (Energy)",3537591070,20/12/2019 14:02:15,A
16/12/2019 00:00:00,16/12/2019,"Demand Actual, NTS, D+1 (Energy)",3384833654,20/12/2019 14:02:15,A
